,m,train_accuracy,test_accuracy
0,1,0.19673348181143283,0.20222222222222222
1,2,0.31551596139569416,0.3288888888888889
2,3,0.48997772828507796,0.4822222222222222
3,4,0.5968819599109132,0.5711111111111111
4,5,0.7045285820341499,0.6688888888888889
5,6,0.8225686711210096,0.7777777777777778
6,7,0.9049740163325909,0.8244444444444444
7,8,0.9406087602078693,0.8488888888888889
8,9,0.9606533036377134,0.86
9,10,0.9814402375649591,0.8688888888888889
10,20,1.0,0.8688888888888889
11,50,1.0,0.8688888888888889
12,100,1.0,0.8688888888888889
