,k,p,weight,train_accuracy,test_accuracy
0,1,1,uniform,1.0,0.9888888888888889
1,1,2,uniform,1.0,0.9844444444444445
2,1,3,uniform,1.0,0.9844444444444445
3,1,4,uniform,1.0,0.9888888888888889
4,1,5,uniform,1.0,0.9844444444444445
5,2,1,uniform,0.9866369710467706,0.98
6,2,2,uniform,0.9903489235337788,0.9755555555555555
7,2,3,uniform,0.991833704528582,0.9822222222222222
8,2,4,uniform,0.991833704528582,0.98
9,2,5,uniform,0.991833704528582,0.9822222222222222
10,3,1,uniform,0.9888641425389755,0.9844444444444445
11,3,2,uniform,0.9925760950259837,0.9844444444444445
12,3,3,uniform,0.9925760950259837,0.9866666666666667
13,3,4,uniform,0.991833704528582,0.9888888888888889
14,3,5,uniform,0.991833704528582,0.9888888888888889
15,4,1,uniform,0.985894580549369,0.9822222222222222
16,4,2,uniform,0.9903489235337788,0.9888888888888889
17,4,3,uniform,0.9888641425389755,0.9888888888888889
18,4,4,uniform,0.9888641425389755,0.9888888888888889
19,4,5,uniform,0.9888641425389755,0.9866666666666667
20,5,1,uniform,0.985894580549369,0.9866666666666667
21,5,2,uniform,0.9888641425389755,0.9866666666666667
22,5,3,uniform,0.9881217520415738,0.9844444444444445
23,5,4,uniform,0.9896065330363771,0.9888888888888889
24,5,5,uniform,0.9881217520415738,0.9866666666666667
25,6,1,uniform,0.9851521900519673,0.98
26,6,2,uniform,0.9881217520415738,0.9866666666666667
27,6,3,uniform,0.9873793615441723,0.9866666666666667
28,6,4,uniform,0.9866369710467706,0.9844444444444445
29,6,5,uniform,0.9873793615441723,0.9844444444444445
30,7,1,uniform,0.9851521900519673,0.9888888888888889
31,7,2,uniform,0.9888641425389755,0.9888888888888889
32,7,3,uniform,0.9881217520415738,0.9888888888888889
33,7,4,uniform,0.9881217520415738,0.9844444444444445
34,7,5,uniform,0.9881217520415738,0.9844444444444445
35,8,1,uniform,0.9836674090571641,0.9777777777777777
36,8,2,uniform,0.9866369710467706,0.9866666666666667
37,8,3,uniform,0.9866369710467706,0.9866666666666667
38,8,4,uniform,0.985894580549369,0.9844444444444445
39,8,5,uniform,0.9851521900519673,0.9822222222222222
40,9,1,uniform,0.9829250185597624,0.9844444444444445
41,9,2,uniform,0.9851521900519673,0.9911111111111112
42,9,3,uniform,0.985894580549369,0.9866666666666667
43,9,4,uniform,0.985894580549369,0.9844444444444445
44,9,5,uniform,0.9851521900519673,0.9844444444444445
45,10,1,uniform,0.9829250185597624,0.9822222222222222
46,10,2,uniform,0.9829250185597624,0.9888888888888889
47,10,3,uniform,0.9851521900519673,0.9844444444444445
48,10,4,uniform,0.9844097995545658,0.9866666666666667
49,10,5,uniform,0.9836674090571641,0.9844444444444445
50,11,1,uniform,0.9814402375649591,0.98
51,11,2,uniform,0.9844097995545658,0.9888888888888889
52,11,3,uniform,0.985894580549369,0.9822222222222222
53,11,4,uniform,0.9844097995545658,0.9822222222222222
54,11,5,uniform,0.9851521900519673,0.9844444444444445
55,12,1,uniform,0.9762435040831478,0.9755555555555555
56,12,2,uniform,0.9829250185597624,0.9866666666666667
57,12,3,uniform,0.9844097995545658,0.9866666666666667
58,12,4,uniform,0.9836674090571641,0.98
59,12,5,uniform,0.9806978470675576,0.9822222222222222
60,13,1,uniform,0.9799554565701559,0.9777777777777777
61,13,2,uniform,0.9821826280623608,0.9866666666666667
62,13,3,uniform,0.985894580549369,0.9866666666666667
63,13,4,uniform,0.9851521900519673,0.9844444444444445
64,13,5,uniform,0.9814402375649591,0.98
65,14,1,uniform,0.9769858945805494,0.9822222222222222
66,14,2,uniform,0.9784706755753526,0.9844444444444445
67,14,3,uniform,0.9814402375649591,0.9866666666666667
68,14,4,uniform,0.9851521900519673,0.9844444444444445
69,14,5,uniform,0.9799554565701559,0.9777777777777777
70,15,1,uniform,0.9755011135857461,0.9733333333333334
71,15,2,uniform,0.9784706755753526,0.9844444444444445
72,15,3,uniform,0.9814402375649591,0.9866666666666667
73,15,4,uniform,0.9836674090571641,0.9844444444444445
74,15,5,uniform,0.9806978470675576,0.98
75,1,1,distance,1.0,0.9888888888888889
76,1,2,distance,1.0,0.9844444444444445
77,1,3,distance,1.0,0.9844444444444445
78,1,4,distance,1.0,0.9888888888888889
79,1,5,distance,1.0,0.9844444444444445
80,2,1,distance,1.0,0.9888888888888889
81,2,2,distance,1.0,0.9844444444444445
82,2,3,distance,1.0,0.9844444444444445
83,2,4,distance,1.0,0.9888888888888889
84,2,5,distance,1.0,0.9844444444444445
85,3,1,distance,1.0,0.9844444444444445
86,3,2,distance,1.0,0.9844444444444445
87,3,3,distance,1.0,0.9866666666666667
88,3,4,distance,1.0,0.9888888888888889
89,3,5,distance,1.0,0.9888888888888889
90,4,1,distance,1.0,0.9888888888888889
91,4,2,distance,1.0,0.9866666666666667
92,4,3,distance,1.0,0.9866666666666667
93,4,4,distance,1.0,0.9888888888888889
94,4,5,distance,1.0,0.9866666666666667
95,5,1,distance,1.0,0.9866666666666667
96,5,2,distance,1.0,0.9866666666666667
97,5,3,distance,1.0,0.9844444444444445
98,5,4,distance,1.0,0.9888888888888889
99,5,5,distance,1.0,0.9866666666666667
100,6,1,distance,1.0,0.9888888888888889
101,6,2,distance,1.0,0.9866666666666667
102,6,3,distance,1.0,0.9866666666666667
103,6,4,distance,1.0,0.9866666666666667
104,6,5,distance,1.0,0.9866666666666667
105,7,1,distance,1.0,0.9888888888888889
106,7,2,distance,1.0,0.9888888888888889
107,7,3,distance,1.0,0.9866666666666667
108,7,4,distance,1.0,0.9844444444444445
109,7,5,distance,1.0,0.9844444444444445
110,8,1,distance,1.0,0.9866666666666667
111,8,2,distance,1.0,0.9866666666666667
112,8,3,distance,1.0,0.9844444444444445
113,8,4,distance,1.0,0.9844444444444445
114,8,5,distance,1.0,0.9866666666666667
115,9,1,distance,1.0,0.9844444444444445
116,9,2,distance,1.0,0.9911111111111112
117,9,3,distance,1.0,0.9866666666666667
118,9,4,distance,1.0,0.9844444444444445
119,9,5,distance,1.0,0.9822222222222222
120,10,1,distance,1.0,0.9888888888888889
121,10,2,distance,1.0,0.9911111111111112
122,10,3,distance,1.0,0.9866666666666667
123,10,4,distance,1.0,0.9866666666666667
124,10,5,distance,1.0,0.9822222222222222
125,11,1,distance,1.0,0.98
126,11,2,distance,1.0,0.9911111111111112
127,11,3,distance,1.0,0.9844444444444445
128,11,4,distance,1.0,0.9844444444444445
129,11,5,distance,1.0,0.9866666666666667
130,12,1,distance,1.0,0.9844444444444445
131,12,2,distance,1.0,0.9911111111111112
132,12,3,distance,1.0,0.9888888888888889
133,12,4,distance,1.0,0.9844444444444445
134,12,5,distance,1.0,0.9844444444444445
135,13,1,distance,1.0,0.9822222222222222
136,13,2,distance,1.0,0.9866666666666667
137,13,3,distance,1.0,0.9866666666666667
138,13,4,distance,1.0,0.9822222222222222
139,13,5,distance,1.0,0.98
140,14,1,distance,1.0,0.9844444444444445
141,14,2,distance,1.0,0.9844444444444445
142,14,3,distance,1.0,0.9866666666666667
143,14,4,distance,1.0,0.9822222222222222
144,14,5,distance,1.0,0.98
145,15,1,distance,1.0,0.98
146,15,2,distance,1.0,0.9844444444444445
147,15,3,distance,1.0,0.9866666666666667
148,15,4,distance,1.0,0.9822222222222222
149,15,5,distance,1.0,0.98
