,k,p,train_accuracy,test_accuracy
0,1,1,1.0,0.9555555555555556
1,1,2,1.0,0.9333333333333333
2,1,3,1.0,0.9333333333333333
3,1,4,1.0,0.9555555555555556
4,1,5,1.0,0.9333333333333333
5,2,1,0.9849624060150376,0.9333333333333333
6,2,2,0.9624060150375939,0.9111111111111111
7,2,3,0.9699248120300752,0.8888888888888888
8,2,4,0.9699248120300752,0.8444444444444444
9,2,5,0.9624060150375939,0.8444444444444444
10,3,1,0.9849624060150376,0.9555555555555556
11,3,2,0.9699248120300752,0.9555555555555556
12,3,3,0.9624060150375939,0.9111111111111111
13,3,4,0.9624060150375939,0.8888888888888888
14,3,5,0.9624060150375939,0.8888888888888888
15,4,1,0.9774436090225563,0.9777777777777777
16,4,2,0.9699248120300752,0.9555555555555556
17,4,3,0.9699248120300752,0.8666666666666667
18,4,4,0.9624060150375939,0.8444444444444444
19,4,5,0.9624060150375939,0.8444444444444444
20,5,1,0.9849624060150376,0.9777777777777777
21,5,2,0.9624060150375939,0.9333333333333333
22,5,3,0.9699248120300752,0.9111111111111111
23,5,4,0.9699248120300752,0.9111111111111111
24,5,5,0.9699248120300752,0.9111111111111111
25,6,1,0.9774436090225563,0.9555555555555556
26,6,2,0.9774436090225563,0.9333333333333333
27,6,3,0.9699248120300752,0.9111111111111111
28,6,4,0.9699248120300752,0.8888888888888888
29,6,5,0.9699248120300752,0.9111111111111111
30,7,1,0.9774436090225563,0.9777777777777777
31,7,2,0.9774436090225563,0.9333333333333333
32,7,3,0.9774436090225563,0.9111111111111111
33,7,4,0.9774436090225563,0.9111111111111111
34,7,5,0.9774436090225563,0.9111111111111111
35,8,1,0.9849624060150376,0.9555555555555556
36,8,2,0.9699248120300752,0.9333333333333333
37,8,3,0.9774436090225563,0.9333333333333333
38,8,4,0.9774436090225563,0.9333333333333333
39,8,5,0.9774436090225563,0.9333333333333333
40,9,1,0.9699248120300752,0.9777777777777777
41,9,2,0.9849624060150376,0.9333333333333333
42,9,3,0.9699248120300752,0.9333333333333333
43,9,4,0.9699248120300752,0.9333333333333333
44,9,5,0.9699248120300752,0.9333333333333333
45,10,1,0.9849624060150376,0.9555555555555556
46,10,2,0.9849624060150376,0.9333333333333333
47,10,3,0.9699248120300752,0.9111111111111111
48,10,4,0.9699248120300752,0.9333333333333333
49,10,5,0.9699248120300752,0.9111111111111111
50,11,1,0.9774436090225563,0.9555555555555556
51,11,2,0.9849624060150376,0.9333333333333333
52,11,3,0.9699248120300752,0.9333333333333333
53,11,4,0.9624060150375939,0.9333333333333333
54,11,5,0.9548872180451128,0.9333333333333333
55,12,1,0.9699248120300752,0.9555555555555556
56,12,2,0.9699248120300752,0.9111111111111111
57,12,3,0.9699248120300752,0.9111111111111111
58,12,4,0.9699248120300752,0.9111111111111111
59,12,5,0.9624060150375939,0.9111111111111111
60,13,1,0.9699248120300752,0.9555555555555556
61,13,2,0.9774436090225563,0.9111111111111111
62,13,3,0.9699248120300752,0.9111111111111111
63,13,4,0.9699248120300752,0.9111111111111111
64,13,5,0.9624060150375939,0.9111111111111111
65,14,1,0.9699248120300752,0.9555555555555556
66,14,2,0.9774436090225563,0.9111111111111111
67,14,3,0.9624060150375939,0.9111111111111111
68,14,4,0.9624060150375939,0.8888888888888888
69,14,5,0.9624060150375939,0.8666666666666667
70,15,1,0.9699248120300752,0.9555555555555556
71,15,2,0.9774436090225563,0.9333333333333333
72,15,3,0.9699248120300752,0.9111111111111111
73,15,4,0.9624060150375939,0.9111111111111111
74,15,5,0.9624060150375939,0.9111111111111111
75,1,1,1.0,0.9555555555555556
76,1,2,1.0,0.9333333333333333
77,1,3,1.0,0.9333333333333333
78,1,4,1.0,0.9555555555555556
79,1,5,1.0,0.9333333333333333
80,2,1,1.0,0.9555555555555556
81,2,2,1.0,0.9333333333333333
82,2,3,1.0,0.9333333333333333
83,2,4,1.0,0.9555555555555556
84,2,5,1.0,0.9333333333333333
85,3,1,1.0,0.9555555555555556
86,3,2,1.0,0.9555555555555556
87,3,3,1.0,0.9111111111111111
88,3,4,1.0,0.8888888888888888
89,3,5,1.0,0.8888888888888888
90,4,1,1.0,0.9777777777777777
91,4,2,1.0,0.9333333333333333
92,4,3,1.0,0.8888888888888888
93,4,4,1.0,0.9111111111111111
94,4,5,1.0,0.8888888888888888
95,5,1,1.0,0.9777777777777777
96,5,2,1.0,0.9333333333333333
97,5,3,1.0,0.9111111111111111
98,5,4,1.0,0.9111111111111111
99,5,5,1.0,0.9111111111111111
100,6,1,1.0,0.9777777777777777
101,6,2,1.0,0.9333333333333333
102,6,3,1.0,0.9111111111111111
103,6,4,1.0,0.9111111111111111
104,6,5,1.0,0.9111111111111111
105,7,1,1.0,0.9777777777777777
106,7,2,1.0,0.9333333333333333
107,7,3,1.0,0.9111111111111111
108,7,4,1.0,0.9111111111111111
109,7,5,1.0,0.9111111111111111
110,8,1,1.0,0.9777777777777777
111,8,2,1.0,0.9333333333333333
112,8,3,1.0,0.9111111111111111
113,8,4,1.0,0.9111111111111111
114,8,5,1.0,0.9111111111111111
115,9,1,1.0,0.9777777777777777
116,9,2,1.0,0.9333333333333333
117,9,3,1.0,0.9333333333333333
118,9,4,1.0,0.9333333333333333
119,9,5,1.0,0.9333333333333333
120,10,1,1.0,0.9555555555555556
121,10,2,1.0,0.9111111111111111
122,10,3,1.0,0.9333333333333333
123,10,4,1.0,0.9333333333333333
124,10,5,1.0,0.9333333333333333
125,11,1,1.0,0.9555555555555556
126,11,2,1.0,0.9111111111111111
127,11,3,1.0,0.9555555555555556
128,11,4,1.0,0.9333333333333333
129,11,5,1.0,0.9333333333333333
130,12,1,1.0,0.9555555555555556
131,12,2,1.0,0.9333333333333333
132,12,3,1.0,0.9333333333333333
133,12,4,1.0,0.9333333333333333
134,12,5,1.0,0.9333333333333333
135,13,1,1.0,0.9555555555555556
136,13,2,1.0,0.9111111111111111
137,13,3,1.0,0.9111111111111111
138,13,4,1.0,0.9111111111111111
139,13,5,1.0,0.9111111111111111
140,14,1,1.0,0.9333333333333333
141,14,2,1.0,0.9111111111111111
142,14,3,1.0,0.9333333333333333
143,14,4,1.0,0.9333333333333333
144,14,5,1.0,0.9333333333333333
145,15,1,1.0,0.9555555555555556
146,15,2,1.0,0.9333333333333333
147,15,3,1.0,0.9111111111111111
148,15,4,1.0,0.9111111111111111
